id,id_str,screen_name,profile_img_url,text,media_url,type,datetime,sentiment
615,704001639452188672,YosufAli_,http://pbs.twimg.com/profile_images/689765321905999872/xOb1v1t3_bigger.jpg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 17:54:05.401207,2
616,704003261343215616,MLHacks,http://pbs.twimg.com/profile_images/615648150238269440/jAu9gOk4_bigger.png,RT @jna_sh: Had such a great time at #HackLondon! Congrats to all the hackers and the @hacklondonuk team for their hard work! https://t.co/…,http://pbs.twimg.com/media/CcUcTBJW0AEyBxM.jpg,photo,2016-02-28 18:00:32.106121,4
617,704004193359675392,clareji17,http://pbs.twimg.com/profile_images/690855368352743426/TzKD4QjO_bigger.jpg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 18:04:14.32714,2
618,704005959035723776,AntonioOjedaR,http://pbs.twimg.com/profile_images/694716057378893825/mkXDKd3k_bigger.jpg,RT @jna_sh: Had such a great time at #HackLondon! Congrats to all the hackers and the @hacklondonuk team for their hard work! https://t.co/…,http://pbs.twimg.com/media/CcUcTBJW0AEyBxM.jpg,photo,2016-02-28 18:11:15.297502,4
619,704007582961135617,timfalls,http://pbs.twimg.com/profile_images/586212894095716352/7F8y0hk__bigger.jpg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 18:17:42.548329,2
620,704008251378163712,alexmtk,http://pbs.twimg.com/profile_images/698159606816759808/myInWmnE_bigger.jpg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 18:20:21.87074,2
621,704008747337838593,MLHacks,http://pbs.twimg.com/profile_images/615648150238269440/jAu9gOk4_bigger.png,Congratulations to Luncheon for winning Best Use of Amazon Web Services at #HackLondon https://t.co/mow4JZzIgL,http://pbs.twimg.com/media/CcUkLmWWIAQ5Gwd.jpg,photo,2016-02-28 18:22:20.84794,9
622,704010590017200128,IWodiany,http://pbs.twimg.com/profile_images/703342816643125248/zKTLyK2a_bigger.jpg,"#HackLondon is finished. It was awesome hack, but the best hackathon this season is comming next weekend @StudentHack Can't wait for that.",,,2016-02-28 18:29:39.473308,7
623,704013371776114688,AlexRBucknall,http://pbs.twimg.com/profile_images/702990703740239872/9Kl2RWG6_bigger.jpg,@hacklondonuk #HackLondon the calm after the storm! Well done team! https://t.co/UEIxUH7BBm,http://pbs.twimg.com/media/CcUoa03WAAEML3Q.jpg,photo,2016-02-28 18:40:42.960544,2
624,704017930930012160,uveavanto,http://pbs.twimg.com/profile_images/593906762664833024/rs0KUlAj_bigger.png,@hacksmiths @bevishalperry  https://t.co/pulT5lKTDJ,,,2016-02-28 18:58:49.710622,0
625,704021977573531648,zin_onos,http://pbs.twimg.com/profile_images/2515480995/6adggtv7ox3rcm4nsb5e_bigger.jpeg,RT @hacklondonuk: Best entertaining hack! #hacklondon @ UCL https://t.co/9tuZB4njPN,,,2016-02-28 19:14:54.406615,5
626,704029988371210241,VT_Hacks,http://pbs.twimg.com/profile_images/689190905425850368/3RKcD4eU_bigger.jpg,RT @MLHacks: Congratulations to GitC++ for winning the @GitHubEducation Best Developer Tool Prize at #HackLondon https://t.co/sA5vUgY4eJ,http://pbs.twimg.com/media/CcUOvNXW8AIzhbr.jpg,photo,2016-02-28 19:46:44.284469,9
627,704031662859030528,clareji17,http://pbs.twimg.com/profile_images/690855368352743426/TzKD4QjO_bigger.jpg,"Now that the 1st Annual #Hackademy Awards is over, sleep well and dream next one! #HackLondon #2017 @hacklondonuk  https://t.co/Aodq7AZIXv",,,2016-02-28 19:53:23.659743,4
628,704039107304034304,YosufAli_,http://pbs.twimg.com/profile_images/689765321905999872/xOb1v1t3_bigger.jpg,RT @hacklondonuk: Thanks to everyone who came and happy birthday to us 💜 see you next year! #hacklondon @ UCL https://t.co/O0rv10l1cV,,,2016-02-28 20:22:58.410626,5
629,704041443208200192,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @bevishalperry: Octocat after 24hrs straight of coding! @GitHubEducation #HackLondon @MLHacks https://t.co/dwEopwTGIB,http://pbs.twimg.com/media/CcS92RGXEAAyga0.jpg,photo,2016-02-28 20:32:15.465966,1
630,704041516231036928,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @wailingtam: The Post-itcat @hacklondonuk @GitHubEducation @MLHacks #HackLondon Thanks @CapitalOne for the supplies https://t.co/aJrRpYD…,http://pbs.twimg.com/media/CcTKnXdW4AArxAZ.jpg,photo,2016-02-28 20:32:32.895419,2
631,704042285319659520,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @MLHacks: Congratulations to Luncheon for winning Best Use of Amazon Web Services at #HackLondon https://t.co/mow4JZzIgL,http://pbs.twimg.com/media/CcUkLmWWIAQ5Gwd.jpg,photo,2016-02-28 20:35:36.173776,9
632,704042395478831104,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best Chirp integration: Chirp Bot #hacklondon @ UCL https://t.co/ZZy0kxPxa0,,,2016-02-28 20:36:02.434855,3
633,704042412037943297,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best developer tool: Git++ #hacklondon @ UCL https://t.co/h6ClPiTo1Q,,,2016-02-28 20:36:06.353082,3
634,704042430379601920,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best use of https://t.co/IpRc8OHtRX #hacklondon @ UCL https://t.co/cmsWC0wQMB,,,2016-02-28 20:36:10.775874,3
635,704042511665205248,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best use of Amazon AWS #hacklondon @ UCL https://t.co/K2G59Ie2L9,,,2016-02-28 20:36:30.092531,3
636,704042585761775616,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best non-UI hack! #hacklondon @ UCL https://t.co/VdthhOiZ5F,,,2016-02-28 20:36:47.784675,3
637,704042599980531712,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best Fresher Hack! #hacklondon @ UCL https://t.co/RNA2cn9zWN,,,2016-02-28 20:36:51.159831,3
638,704042622801702912,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Best entertaining hack! #hacklondon @ UCL https://t.co/9tuZB4njPN,,,2016-02-28 20:36:56.596647,5
639,704042673544368129,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Runner Up: Scribble #hacklondon @ UCL https://t.co/eElVPlWNAD,,,2016-02-28 20:37:08.731451,0
640,704042684969672704,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: First place: A very unpleasant game #hacklondon @ UCL https://t.co/HhRaI580Vk,,,2016-02-28 20:37:11.52341,0
641,704042731048296449,luigi_avc0,http://pbs.twimg.com/profile_images/646166171180363776/Q8DYobai_bigger.png,RT @hacklondonuk: Thanks to everyone who came and happy birthday to us 💜 see you next year! #hacklondon @ UCL https://t.co/O0rv10l1cV,,,2016-02-28 20:37:22.423104,5
642,704049495227686912,GitHubEducation,http://pbs.twimg.com/profile_images/378800000561692042/a26a14bdfa11b045632e66b05369bc48_bigger.png,RT @jakerockland: Real proud of my team for winning the Best Developer Tool award @ #HackLondon @hacklondonuk! Thanks @GitHubEducation http…,http://pbs.twimg.com/media/CcUWDB0XIAAoZ_o.jpg,photo,2016-02-28 21:04:15.217737,14
643,704052100058054656,rosita2go,http://pbs.twimg.com/profile_images/700440302985699329/ROM26Uaw_bigger.jpg,RT @hltv: Interviewing Latinas of influence today #Latina #hl2016 #women #empowerment https://t.co/MfrJbc4ud0,http://pbs.twimg.com/media/Cb8oL3IUUAA57df.jpg,photo,2016-02-28 21:14:36.220982,0
644,704054552803352580,CapitalOneGeek,http://pbs.twimg.com/profile_images/517966321472917507/hxaw0TQA_bigger.png,RT @MLHacks: Come grab your MLH Spring 2016 Shirt at #HackLondon courtesy of @CapitalOneGeek and @DellHome! https://t.co/QkiYIHhKLe,http://pbs.twimg.com/media/CcTo1MKWIAAxzGV.jpg,photo,2016-02-28 21:24:20.963618,2
645,704056876804214784,zahrataiba,http://pbs.twimg.com/profile_images/513423617556635649/LrfYvcDS_bigger.jpeg,"RT @_phzn: I would now like to coin the term ""Minimum Viable Sleep"" #HackLondon",,,2016-02-28 21:33:35.335584,2
